year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll,pattern_used
1920,American League,League,Boston Red Sox,72,81,471.0,25½,,,American League 1901-2001
1920,American League,League,Detroit Tigers,61,93,396.0,37,,,American League 1901-2001
