year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll,pattern_used
1917,American League,League,Boston Red Sox,90,62,592.0,9,,,American League 1901-2001
1917,American League,League,Detroit Tigers,78,75,510.0,21½,,,American League 1901-2001
