year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll,pattern_used
1877,National League,League,Boston Red Caps,42,18,700.0,0,,,National League 1876-2004
1877,National League,League,Cincinnati Reds,15,42,263.0,25½,,,National League 1876-2004
