year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll,pattern_used
1977,American League,East,Boston Red Sox,97,64,602.0,2½,,,American League 1901-2001
1977,American League,East,Detroit Tigers,74,88,457.0,26,,,American League 1901-2001
1977,American League,West,Texas Rangers,94,68,580.0,8,,,American League 1901-2001
