year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll,pattern_used
1971,American League,East,Detroit Tigers,91,71,562.0,12,,,American League 1901-2001
1971,American League,East,Boston Red Sox,85,77,525.0,18,,,American League 1901-2001
