year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll,pattern_used
1916,American League,League,Boston Red Sox,91,63,591.0,0,,,American League 1901-2001
1916,American League,League,Detroit Tigers,87,67,565.0,4,,,American League 1901-2001
