year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll,pattern_used
1912,American League,League,Boston Red Sox,105,47,691.0,0,,,American League 1901-2001
1912,American League,League,Detroit Tigers,69,84,451.0,36½,,,American League 1901-2001
