year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll,pattern_used
1973,National League,East,Pittsburgh Pirates,80,82,494.0,2½,,,National League 1876-2004
1973,National League,East,Chicago Cubs,77,84,478.0,5,,,National League 1876-2004
1973,National League,West,Cincinnati Reds,99,63,611.0,0,,,National League 1876-2004
1973,National League,West,San Francisco Giants,88,74,543.0,11,,,National League 1876-2004
1973,National League,West,Houston Astros,82,80,506.0,17,,,National League 1876-2004
1973,National League,West,San Diego Padres,60,102,370.0,39,,,National League 1876-2004
