year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll,pattern_used
1915,American League,League,Boston Red Sox,101,50,669.0,0,,,American League 1901-2001
1915,American League,League,Detroit Tigers,100,54,649.0,2½,,,American League 1901-2001
