year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll,pattern_used
1913,American League,League,Boston Red Sox,79,71,527.0,15?,,,American League 1901-2001
1913,American League,League,Detroit Tigers,66,87,431.0,30,,,American League 1901-2001
