year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll,pattern_used
1906,American League,League,Detroit Tigers,71,78,477.0,21,,,American League 1901-2001
1906,American League,League,Boston Americans,49,105,318.0,45½,,,American League 1901-2001
