year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll,pattern_used
1930,American League,League,Detroit Tigers,75,79,487.0,27,,,American League 1901-2001
1930,American League,League,Boston Red Sox,52,102,338.0,50,,,American League 1901-2001
