year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll,pattern_used
1931,American League,League,Boston Red Sox,62,90,408.0,45,,,American League 1901-2001
1931,American League,League,Detroit Tigers,61,93,396.0,47,,,American League 1901-2001
