year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll,pattern_used
1921,American League,League,Boston Red Sox,75,79,487.0,23½,,,American League 1901-2001
1921,American League,League,Detroit Tigers,71,82,464.0,27,,,American League 1901-2001
