year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
2025,National League,League,Philadelphia Phillies,46,30,0.605,0,0,
2025,National League,League,New York Mets,45,31,0.592,0,0,
2025,National League,League,Atlanta Braves,34,40,0.459,0,0,
2025,National League,League,Washington Nationals,31,45,0.408,0,0,
2025,National League,League,Miami Marlins,30,44,0.405,0,0,
2025,National League,League,Chicago Cubs,45,30,0.6,0,0,
2025,National League,League,Milwaukee Brewers,41,35,0.539,0,0,
2025,National League,League,St. Louis Cardinals,41,35,0.539,0,0,
2025,National League,League,Cincinnati Reds,39,37,0.513,0,0,
2025,National League,League,Pittsburgh Pirates,30,47,0.39,0,0,
2025,National League,League,Los Angeles Dodgers,47,30,0.61,0,0,
2025,National League,League,San Francisco Giants,42,34,0.553,0,0,
2025,National League,League,San Diego Padres,40,35,0.533,0,0,
2025,National League,League,Arizona Diamondbacks,38,37,0.507,0,0,
2025,National League,League,Colorado Rockies,17,59,0.224,0,0,
