name,url,team,team_url,year,league,statistic,value,stat_type,rank
Jeff Burroughs,https://www.baseball-almanac.com/players/player.php?p=burroje01,Atlanta,,1978,National League,Base on Balls,117,player,1
Dave Parker,https://www.baseball-almanac.com/players/player.php?p=parkeda01,Pittsburgh,,1978,National League,Batting Average,.334,player,1
Pete Rose,https://www.baseball-almanac.com/players/player.php?p=rosepe01,Cincinnati,,1978,National League,Doubles,51,player,1
Steve Garvey,https://www.baseball-almanac.com/players/player.php?p=garvest01,Los Angeles,,1978,National League,Hits,202,player,1
George Foster,https://www.baseball-almanac.com/players/player.php?p=fostege01,Cincinnati,,1978,National League,Home Runs,40,player,1
Jeff Burroughs,https://www.baseball-almanac.com/players/player.php?p=burroje01,Atlanta,,1978,National League,On Base Percentage,.432,player,1
George Foster,https://www.baseball-almanac.com/players/player.php?p=fostege01,Cincinnati,,1978,National League,RBI,120,player,1
Ivan DeJesus,https://www.baseball-almanac.com/players/player.php?p=dejesiv01,Chicago,,1978,National League,Runs,104,player,1
Dave Parker,https://www.baseball-almanac.com/players/player.php?p=parkeda01,Pittsburgh,,1978,National League,Slugging Average,.585,player,1
Omar Moreno,https://www.baseball-almanac.com/players/player.php?p=morenom01,Pittsburgh,,1978,National League,Stolen Bases,71,player,1
Dave Parker,https://www.baseball-almanac.com/players/player.php?p=parkeda01,Pittsburgh,,1978,National League,Total Bases,340,player,1
Garry Templeton,https://www.baseball-almanac.com/players/player.php?p=templga01,St. Louis,,1978,National League,Triples,13,player,1
Phil Niekro,https://www.baseball-almanac.com/players/player.php?p=niekrph01,Atlanta,,1978,National League,Complete Games,22,pitcher,1
Craig Swan,https://www.baseball-almanac.com/players/player.php?p=swancr01,New York,,1978,National League,ERA,2.43,pitcher,1
Kent Tekulve,https://www.baseball-almanac.com/players/player.php?p=tekulke01,Pittsburgh,,1978,National League,Games,91,pitcher,1
Rollie Fingers,https://www.baseball-almanac.com/players/player.php?p=fingero01,San Diego,,1978,National League,Saves,37,pitcher,1
Bob Knepper,https://www.baseball-almanac.com/players/player.php?p=kneppbo01,San Francisco,,1978,National League,Shutouts,6,pitcher,1
J.R. Richard,https://www.baseball-almanac.com/players/player.php?p=richaj01,Houston,,1978,National League,Strikeouts,303,pitcher,1
Gaylord Perry,https://www.baseball-almanac.com/players/player.php?p=perryga01,San Diego,,1978,National League,Winning Percentage,.778,pitcher,1
Gaylord Perry,https://www.baseball-almanac.com/players/player.php?p=perryga01,San Diego,,1978,National League,Wins,21,pitcher,1
