year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
2023,American League,League,Baltimore Orioles,101,61,0.623,0,0,
2023,American League,League,Tampa Bay Rays,99,63,0.611,0,0,
2023,American League,League,Toronto Blue Jays,89,73,0.549,0,0,
2023,American League,League,New York Yankees,82,80,0.506,0,0,
2023,American League,League,Boston Red Sox,78,84,0.481,0,0,
2023,American League,League,Minnesota Twins,87,75,0.537,0,0,
2023,American League,League,Detroit Tigers,78,84,0.481,0,0,
2023,American League,League,Cleveland Guardians,76,86,0.469,0,0,
2023,American League,League,Chicago White Sox,61,101,0.377,0,0,
2023,American League,League,Kansas City Royals,56,106,0.346,0,0,
2023,American League,League,Houston Astros,90,72,0.556,0,0,
2023,American League,League,Texas Rangers,90,72,0.556,0,0,
2023,American League,League,Seattle Mariners,88,74,0.543,0,0,
2023,American League,League,Los Angeles Angels,73,89,0.451,0,0,
2023,American League,League,Oakland Athletics,50,112,0.309,0,0,
