name,url,team,team_url,year,league,statistic,value,stat_type,rank
Joe Morgan,https://www.baseball-almanac.com/players/player.php?p=morgajo02,Cincinnati,,1972,National League,Base on Balls,115,player,1
Billy Williams,https://www.baseball-almanac.com/players/player.php?p=willibi01,Chicago,,1972,National League,Batting Average,.333,player,1
Cesar Cedeno,https://www.baseball-almanac.com/players/player.php?p=cedence01,Houston,,1972,National League,Doubles,39,player,1
Willie Montanez,https://www.baseball-almanac.com/players/player.php?p=montawi01,Philadelphia,,1972,National League,Doubles,39,player,1
Pete Rose,https://www.baseball-almanac.com/players/player.php?p=rosepe01,Cincinnati,,1972,National League,Hits,198,player,1
Johnny Bench,https://www.baseball-almanac.com/players/player.php?p=benchjo01,Cincinnati,,1972,National League,Home Runs,40,player,1
Joe Morgan,https://www.baseball-almanac.com/players/player.php?p=morgajo02,Cincinnati,,1972,National League,On Base Percentage,.419,player,1
Johnny Bench,https://www.baseball-almanac.com/players/player.php?p=benchjo01,Cincinnati,,1972,National League,RBI,125,player,1
Joe Morgan,https://www.baseball-almanac.com/players/player.php?p=morgajo02,Cincinnati,,1972,National League,Runs,122,player,1
Billy Williams,https://www.baseball-almanac.com/players/player.php?p=willibi01,Chicago,,1972,National League,Slugging Average,.606,player,1
Lou Brock,https://www.baseball-almanac.com/players/player.php?p=brocklo01,St. Louis,,1972,National League,Stolen Bases,63,player,1
Billy Williams,https://www.baseball-almanac.com/players/player.php?p=willibi01,Chicago,,1972,National League,Total Bases,348,player,1
Larry Bowa,https://www.baseball-almanac.com/players/player.php?p=bowala01,Philadelphia,,1972,National League,Triples,13,player,1
Steve Carlton,https://www.baseball-almanac.com/players/player.php?p=carltst01,Philadelphia,,1972,National League,Complete Games,30,pitcher,1
Steve Carlton,https://www.baseball-almanac.com/players/player.php?p=carltst01,Philadelphia,,1972,National League,ERA,1.97,pitcher,1
Clay Carroll,https://www.baseball-almanac.com/players/player.php?p=carrocl02,Cincinnati,,1972,National League,Games,65,pitcher,1
Mike Marshall,https://www.baseball-almanac.com/players/player.php?p=marshmi01,Montreal,,1972,National League,Games,65,pitcher,1
Clay Carroll,https://www.baseball-almanac.com/players/player.php?p=carrocl02,Cincinnati,,1972,National League,Saves,37,pitcher,1
Don Sutton,https://www.baseball-almanac.com/players/player.php?p=suttodo01,Los Angeles,,1972,National League,Shutouts,9,pitcher,1
Steve Carlton,https://www.baseball-almanac.com/players/player.php?p=carltst01,Philadelphia,,1972,National League,Strikeouts,310,pitcher,1
Gary Nolan,https://www.baseball-almanac.com/players/player.php?p=nolanga01,Cincinnati,,1972,National League,Winning Percentage,.750,pitcher,1
Steve Carlton,https://www.baseball-almanac.com/players/player.php?p=carltst01,Philadelphia,,1972,National League,Wins,27,pitcher,1
