name,url,team,team_url,year,league,statistic,value,stat_type,rank
Harmon Killebrew,https://www.baseball-almanac.com/players/player.php?p=killeha01,Minnesota,,1971,American League,Base on Balls,114,player,1
Tony Oliva,https://www.baseball-almanac.com/players/player.php?p=olivato01,Minnesota,,1971,American League,Batting Average,.337,player,1
Reggie Smith,https://www.baseball-almanac.com/players/player.php?p=smithre06,Boston,,1971,American League,Doubles,33,player,1
Cesar Tovar,https://www.baseball-almanac.com/players/player.php?p=tovarce01,Minnesota,,1971,American League,Hits,204,player,1
Bill Melton,https://www.baseball-almanac.com/players/player.php?p=meltobi01,Chicago,,1971,American League,Home Runs,33,player,1
Bobby Murcer,https://www.baseball-almanac.com/players/player.php?p=murcebo01,New York,,1971,American League,On Base Percentage,.429,player,1
Harmon Killebrew,https://www.baseball-almanac.com/players/player.php?p=killeha01,Minnesota,,1971,American League,RBI,119,player,1
Don Buford,https://www.baseball-almanac.com/players/player.php?p=bufordo01,Baltimore,,1971,American League,Runs,99,player,1
Tony Oliva,https://www.baseball-almanac.com/players/player.php?p=olivato01,Minnesota,,1971,American League,Slugging Average,.546,player,1
Amos Otis,https://www.baseball-almanac.com/players/player.php?p=otisam01,Kansas City,,1971,American League,Stolen Bases,52,player,1
Reggie Smith,https://www.baseball-almanac.com/players/player.php?p=smithre06,Boston,,1971,American League,Total Bases,302,player,1
Freddie Patek,https://www.baseball-almanac.com/players/player.php?p=patekfr01,Kansas City,,1971,American League,Triples,11,player,1
Mickey Lolich,https://www.baseball-almanac.com/players/player.php?p=lolicmi01,Detroit,,1971,American League,Complete Games,29,pitcher,1
Vida Blue,https://www.baseball-almanac.com/players/player.php?p=bluevi01,Oakland,,1971,American League,ERA,1.82,pitcher,1
Ken Sanders,https://www.baseball-almanac.com/players/player.php?p=sandeke01,Milwaukee,,1971,American League,Games,83,pitcher,1
Ken Sanders,https://www.baseball-almanac.com/players/player.php?p=sandeke01,Milwaukee,,1971,American League,Saves,31,pitcher,1
Vida Blue,https://www.baseball-almanac.com/players/player.php?p=bluevi01,Oakland,,1971,American League,Shutouts,8,pitcher,1
Mickey Lolich,https://www.baseball-almanac.com/players/player.php?p=lolicmi01,Detroit,,1971,American League,Strikeouts,308,pitcher,1
Dave McNally,https://www.baseball-almanac.com/players/player.php?p=mcnalda01,Baltimore,,1971,American League,Winning Percentage,.808,pitcher,1
Mickey Lolich,https://www.baseball-almanac.com/players/player.php?p=lolicmi01,Detroit,,1971,American League,Wins,25,pitcher,1
