year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1991,American League,League,Toronto Blue Jays,91,71,0.562,.562,0,
1991,American League,League,Detroit Tigers,84,78,0.519,.519,0,
1991,American League,League,Boston Red Sox,84,78,0.519,.519,0,
1991,American League,League,Milwaukee Brewers,83,79,0.512,.512,0,
1991,American League,League,New York Yankees,71,91,0.438,.438,0,
1991,American League,League,Baltimore Orioles,67,95,0.414,.414,0,
1991,American League,League,Cleveland Indians,57,105,0.352,.352,0,
1991,American League,League,Minnesota Twins,95,67,0.586,.586,0,
1991,American League,League,Chicago White Sox,87,75,0.537,.537,0,
1991,American League,League,Texas Rangers,85,77,0.525,.525,0,
1991,American League,League,Oakland Athletics,84,78,0.519,.519,0,
1991,American League,League,Seattle Mariners,83,79,0.512,.512,0,
1991,American League,League,Kansas City Royals,82,80,0.506,.506,0,
1991,American League,League,California Angels,81,81,0.5,.500,0,
