year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1895,National League,League,Baltimore Orioles,87,43,0.669,2,0,
1895,National League,League,Cleveland Spiders,84,46,0.646,1,0,
1895,National League,League,Philadelphia Phillies,78,53,0.595,2,0,
1895,National League,League,Chicago Colts,72,58,0.554,3,0,
1895,National League,League,Brooklyn Bridegrooms,71,60,0.542,2,0,
1895,National League,League,Boston Beaneaters,71,60,0.542,1,0,
1895,National League,League,Pittsburgh Pirates,71,61,0.538,3,0,
1895,National League,League,Cincinnati Reds,66,64,0.508,2,0,
1895,National League,League,New York Giants,66,65,0.504,1,0,
1895,National League,League,Washington Senators,43,85,0.336,4,0,
1895,National League,League,St. Louis Browns,39,92,0.298,5,0,
1895,National League,League,Louisville Colonels,35,96,0.267,2,0,
