year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
2013,National League,League,Atlanta Braves,96,66,0.593,0,0,
2013,National League,League,Washington Nationals,86,76,0.531,0,0,
2013,National League,League,New York Mets,74,88,0.457,0,0,
2013,National League,League,Philadelphia Phillies,73,89,0.451,0,0,
2013,National League,League,Miami Marlins,62,100,0.383,0,0,
2013,National League,League,St. Louis Cardinals,97,65,0.599,0,0,
2013,National League,League,Pittsburgh Pirates,94,68,0.58,0,0,
2013,National League,League,Cincinnati Reds,90,72,0.556,0,0,
2013,National League,League,Milwaukee Brewers,74,88,0.457,0,0,
2013,National League,League,Chicago Cubs,66,96,0.0,0,0,
2013,National League,League,Los Angeles Dodgers,92,70,0.568,0,0,
2013,National League,League,Arizona Diamondbacks,81,81,0.5,0,0,
2013,National League,League,San Diego Padres,76,86,0.469,0,0,
2013,National League,League,San Francisco Giants,76,86,0.469,0,0,
2013,National League,League,Colorado Rockies,74,88,0.457,0,0,
