year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
2005,American League,League,New York Yankees,95,67,0.586,0,0,
2005,American League,League,Boston Red Sox,95,67,0.586,0,0,
2005,American League,League,Toronto Blue Jays,80,82,0.494,0,0,
2005,American League,League,Baltimore Orioles,74,88,0.457,0,0,
2005,American League,League,Tampa Bay Devil Rays,67,95,0.414,0,0,
2005,American League,League,Chicago White Sox,99,63,0.611,0,0,
2005,American League,League,Cleveland Indians,93,69,0.574,0,0,
2005,American League,League,Minnesota Twins,83,79,0.512,0,0,
2005,American League,League,Detroit Tigers,71,91,0.438,0,0,
2005,American League,League,Kansas City Royals,56,106,0.346,0,0,
2005,American League,League,Los Angeles Angels of Anaheim,95,67,0.586,0,0,
2005,American League,League,Oakland Athletics,88,74,0.543,0,0,
2005,American League,League,Texas Rangers,79,83,0.488,0,0,
2005,American League,League,Seattle Mariners,69,93,0.426,0,0,
