year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1976,American League,League,New York Yankees,97,62,0.61,.610,0,
1976,American League,League,Baltimore Orioles,88,74,0.543,.543,0,
1976,American League,League,Boston Red Sox,83,79,0.512,.512,0,
1976,American League,League,Cleveland Indians,81,78,0.509,.509,0,
1976,American League,League,Detroit Tigers,74,87,0.46,.460,0,
1976,American League,League,Milwaukee Brewers,66,95,0.41,.410,0,
1976,American League,League,Kansas City Royals,90,72,0.556,.556,0,
1976,American League,League,Oakland Athletics,87,74,0.54,.540,0,
1976,American League,League,Minnesota Twins,85,77,0.525,.525,0,
1976,American League,League,Texas Rangers,76,86,0.469,.469,0,
1976,American League,League,California Angels,76,86,0.469,.469,0,
1976,American League,League,Chicago White Sox,64,97,0.398,.398,0,
