year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
2003,National League,League,Atlanta Braves,101,61,0.623,.623,0,
2003,National League,League,Florida Marlins,91,71,0.562,.562,0,
2003,National League,League,Philadelphia Phillies,86,76,0.531,.531,0,
2003,National League,League,Montreal Expos,83,79,0.512,.512,0,
2003,National League,League,New York Mets,66,95,0.41,.410,0,
2003,National League,League,Chicago Cubs,88,74,0.543,.543,0,
2003,National League,League,Houston Astros,87,75,0.537,.537,0,
2003,National League,League,St. Louis Cardinals,85,77,0.525,.525,0,
2003,National League,League,Pittsburgh Pirates,75,87,0.463,.463,0,
2003,National League,League,Cincinnati Reds,69,93,0.426,.426,0,
2003,National League,League,Milwaukee Brewers,68,94,0.42,.420,0,
2003,National League,League,San Francisco Giants,100,61,0.621,.621,0,
2003,National League,League,Los Angeles Dodgers,85,77,0.525,.525,0,
2003,National League,League,Arizona Diamondbacks,84,78,0.519,.519,0,
2003,National League,League,Colorado Rockies,74,88,0.457,.457,0,
2003,National League,League,San Diego Padres,64,98,0.395,.395,0,
