year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
2020,American League,League,Tampa Bay Rays,40,20,0.667,0,0,
2020,American League,League,New York Yankees,33,27,0.55,0,0,
2020,American League,League,Toronto Blue Jays,32,28,0.533,0,0,
2020,American League,League,Baltimore Orioles,25,35,0.417,0,0,
2020,American League,League,Boston Red Sox,24,36,0.4,0,0,
2020,American League,League,Minnesota Twins,36,24,0.6,0,0,
2020,American League,League,Chicago White Sox,35,25,0.583,0,0,
2020,American League,League,Cleveland Indians,35,25,0.583,0,0,
2020,American League,League,Kansas City Royals,26,34,0.433,0,0,
2020,American League,League,Detroit Tigers,23,35,0.397,0,0,
2020,American League,League,Oakland Athletics,36,24,0.6,0,0,
2020,American League,League,Houston Astros,29,31,0.483,0,0,
2020,American League,League,Seattle Mariners,27,33,0.45,0,0,
2020,American League,League,Los Angeles Angels,26,34,0.433,0,0,
2020,American League,League,Texas Rangers,22,38,0.367,0,0,
