year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1965,National League,League,Los Angeles Dodgers,97,65,0.599,.599,0,
1965,National League,League,San Francisco Giants,95,67,0.586,.586,0,
1965,National League,League,Pittsburgh Pirates,90,72,0.556,.556,0,
1965,National League,League,Cincinnati Reds,89,73,0.549,.549,0,
1965,National League,League,Milwaukee Braves,86,76,0.531,.531,0,
1965,National League,League,Philadelphia Phillies,85,76,0.528,.528,0,
1965,National League,League,St. Louis Cardinals,80,81,0.497,.497,0,
1965,National League,League,Chicago Cubs,72,90,0.444,.444,0,
1965,National League,League,Houston Astros,65,97,0.401,.401,0,
1965,National League,League,New York Mets,50,112,0.309,.309,0,
