year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1977,National League,League,Philadelphia Phillies,101,61,0.623,.623,0,
1977,National League,League,Pittsburgh Pirates,96,66,0.593,.593,0,
1977,National League,League,St. Louis Cardinals,83,79,0.512,.512,0,
1977,National League,League,Chicago Cubs,81,81,0.5,.500,0,
1977,National League,League,Montreal Expos,75,87,0.463,.463,0,
1977,National League,League,New York Mets,64,98,0.395,.395,0,
1977,National League,League,Los Angeles Dodgers,98,64,0.605,.605,0,
1977,National League,League,Cincinnati Reds,88,74,0.543,.543,0,
1977,National League,League,Houston Astros,81,81,0.5,.500,0,
1977,National League,League,San Francisco Giants,75,87,0.463,.463,0,
1977,National League,League,San Diego Padres,69,93,0.426,.426,0,
1977,National League,League,Atlanta Braves,61,101,0.377,.377,0,
