year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1892,National League,League,Boston Beaneaters,52,22,0.703,22,0,
1892,National League,League,Cleveland Spiders,40,33,0.548,33,0,
1892,National League,League,Brooklyn Bridegrooms,51,26,0.662,26,0,
1892,National League,League,Philadelphia Phillies,46,30,0.605,30,0,
1892,National League,League,Cincinnati Reds,44,31,0.587,31,0,
1892,National League,League,Pittsburgh Pirates,37,39,0.487,39,0,
1892,National League,League,Chicago Colts,31,39,0.443,39,0,
1892,National League,League,New York Giants,31,43,0.419,43,0,
1892,National League,League,Louisville Colonels,30,47,0.39,47,0,
1892,National League,League,Washington Senators,35,41,0.461,41,0,
1892,National League,League,St. Louis Browns,31,42,0.425,42,0,
1892,National League,League,Baltimore Orioles,20,55,0.267,55,0,
