year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
2001,National League,League,Atlanta Braves,88,74,0.543,.543,0,
2001,National League,League,Philadelphia Phillies,86,76,0.531,.531,0,
2001,National League,League,New York Mets,82,80,0.506,.506,0,
2001,National League,League,Florida Marlins,76,86,0.469,.469,0,
2001,National League,League,Montreal Expos,68,94,0.42,.420,0,
2001,National League,League,Houston Astros,93,69,0.574,.574,0,
2001,National League,League,St. Louis Cardinals,93,69,0.574,.574,0,
2001,National League,League,Chicago Cubs,88,74,0.543,.543,0,
2001,National League,League,Milwaukee Brewers,68,94,0.42,.420,0,
2001,National League,League,Cincinnati Reds,66,96,0.407,.407,0,
2001,National League,League,Pittsburgh Pirates,62,100,0.383,.383,0,
2001,National League,League,Arizona Diamondbacks,92,70,0.568,.568,0,
2001,National League,League,San Francisco Giants,90,72,0.556,.556,0,
2001,National League,League,Los Angeles Dodgers,86,76,0.531,.531,0,
2001,National League,League,San Diego Padres,79,83,0.488,.488,0,
2001,National League,League,Colorado Rockies,73,89,0.451,.451,0,
