year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1971,American League,League,Baltimore Orioles,101,57,0.639,.639,0,
1971,American League,League,Detroit Tigers,91,71,0.562,.562,0,
1971,American League,League,Boston Red Sox,85,77,0.525,.525,0,
1971,American League,League,New York Yankees,82,80,0.506,.506,0,
1971,American League,League,Washington Senators,63,96,0.396,.396,0,
1971,American League,League,Cleveland Indians,60,102,0.37,.370,0,
1971,American League,League,Oakland Athletics,101,60,0.627,.627,0,
1971,American League,League,Kansas City Royals,85,76,0.528,.528,0,
1971,American League,League,Chicago White Sox,79,83,0.488,.488,0,
1971,American League,League,California Angels,76,86,0.469,.469,0,
1971,American League,League,Minnesota Twins,74,86,0.463,.463,0,
1971,American League,League,Milwaukee Brewers,69,92,0.429,.429,0,
