name,url,team,team_url,year,league,statistic,value,stat_type,rank
Jack Crooks,https://www.baseball-almanac.com/players/player.php?p=crookja01,St. Louis,,1893,National League,Base on Balls,121,player,1
Hugh Duffy,https://www.baseball-almanac.com/players/player.php?p=duffyhu01,Boston,,1893,National League,Batting Average,.363,player,1
Sam Thompson,https://www.baseball-almanac.com/players/player.php?p=thompsa01,Philadelphia,,1893,National League,Doubles,37,player,1
Sam Thompson,https://www.baseball-almanac.com/players/player.php?p=thompsa01,Philadelphia,,1893,National League,Hits,222,player,1
Ed Delahanty,https://www.baseball-almanac.com/players/player.php?p=delahed01,Philadelphia,,1893,National League,Home Runs,19,player,1
Billy Hamilton,https://www.baseball-almanac.com/players/player.php?p=hamilbi01,Philadelphia,,1893,National League,On Base Percentage,.490,player,1
Ed Delahanty,https://www.baseball-almanac.com/players/player.php?p=delahed01,Philadelphia,,1893,National League,RBI,146,player,1
Herman Long,https://www.baseball-almanac.com/players/player.php?p=longhe01,Boston,,1893,National League,Runs,149,player,1
Ed Delahanty,https://www.baseball-almanac.com/players/player.php?p=delahed01,Philadelphia,,1893,National League,Slugging Average,.583,player,1
Tom Brown,https://www.baseball-almanac.com/players/player.php?p=brownto01,Louisville,,1893,National League,Stolen Bases,66,player,1
Ed Delahanty,https://www.baseball-almanac.com/players/player.php?p=delahed01,Philadelphia,,1893,National League,Total Bases,347,player,1
Perry Werden,https://www.baseball-almanac.com/players/player.php?p=werdepe01,St. Louis,,1893,National League,Triples,29,player,1
Amos Rusie,https://www.baseball-almanac.com/players/player.php?p=rusieam01,New York,,1893,National League,Complete Games,50,pitcher,1
Ted Breitenstein,https://www.baseball-almanac.com/players/player.php?p=breitte01,St. Louis,,1893,National League,ERA,3.18,pitcher,1
Amos Rusie,https://www.baseball-almanac.com/players/player.php?p=rusieam01,New York,,1893,National League,Games,56,pitcher,1
Mark Baldwin,https://www.baseball-almanac.com/players/player.php?p=baldwma01,New York,,1893,National League,Saves,2,pitcher,1
Tom Colcolough,https://www.baseball-almanac.com/players/player.php?p=colcoto01,Pittsburgh,,1893,National League,Saves,2,pitcher,1
Frank Donnelly,https://www.baseball-almanac.com/players/player.php?p=donnefr01,Chicago,,1893,National League,Saves,2,pitcher,1
Frank Dwyer,https://www.baseball-almanac.com/players/player.php?p=dwyerfr01,Cincinnati,,1893,National League,Saves,2,pitcher,1
Tony Mullane,https://www.baseball-almanac.com/players/player.php?p=mullato01,Cincinnati,,1893,National League,Saves,2,pitcher,1
Tony Mullane,https://www.baseball-almanac.com/players/player.php?p=mullato01,Baltimore,,1893,National League,Saves,2,pitcher,1
Red Ehret,https://www.baseball-almanac.com/players/player.php?p=ehretre01,Pittsburgh,,1893,National League,Shutouts,4,pitcher,1
Amos Rusie,https://www.baseball-almanac.com/players/player.php?p=rusieam01,New York,,1893,National League,Shutouts,4,pitcher,1
Amos Rusie,https://www.baseball-almanac.com/players/player.php?p=rusieam01,New York,,1893,National League,Strikeouts,208,pitcher,1
Hank Gastright,https://www.baseball-almanac.com/players/player.php?p=gastrha01,Pittsburgh,,1893,National League,Winning Percentage,.750,pitcher,1
Hank Gastright,https://www.baseball-almanac.com/players/player.php?p=gastrha01,Boston,,1893,National League,Winning Percentage,.750,pitcher,1
Frank Killen,https://www.baseball-almanac.com/players/player.php?p=killefr01,Pittsburgh,,1893,National League,Wins,36,pitcher,1
