year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1964,American League,League,New York Yankees,99,63,0.611,.611,0,
1964,American League,League,Chicago White Sox,98,64,0.605,.605,0,
1964,American League,League,Baltimore Orioles,97,65,0.599,.599,0,
1964,American League,League,Detroit Tigers,85,77,0.525,.525,0,
1964,American League,League,Los Angeles Angels,82,80,0.506,.506,0,
1964,American League,League,Minnesota Twins,79,83,0.488,.488,0,
1964,American League,League,Cleveland Indians,79,83,0.488,.488,0,
1964,American League,League,Boston Red Sox,72,90,0.444,.444,0,
1964,American League,League,Washington Senators,62,100,0.383,.383,0,
1964,American League,League,Kansas City Athletics,57,105,0.352,.352,0,
