year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
2012,American League,League,New York Yankees,95,67,0.586,0,0,
2012,American League,League,Baltimore Orioles,93,69,0.574,0,0,
2012,American League,League,Tampa Bay Rays,90,72,0.556,0,0,
2012,American League,League,Toronto Blue Jays,73,89,0.451,0,0,
2012,American League,League,Boston Red Sox,69,93,0.426,0,0,
2012,American League,League,Detroit Tigers,88,74,0.543,0,0,
2012,American League,League,Chicago White Sox,85,77,0.525,0,0,
2012,American League,League,Kansas City Royals,72,90,0.444,0,0,
2012,American League,League,Cleveland Indians,68,94,0.42,0,0,
2012,American League,League,Minnesota Twins,66,96,0.407,0,0,
2012,American League,League,Oakland Athletics,94,68,0.58,0,0,
2012,American League,League,Texas Rangers,93,69,0.574,0,0,
2012,American League,League,Los Angeles Angels,89,73,0.549,0,0,
2012,American League,League,Seattle Mariners,75,87,0.463,0,0,
