year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1978,American League,League,New York Yankees,100,63,0.613,.613,0,
1978,American League,League,Boston Red Sox,99,64,0.607,.607,0,
1978,American League,League,Milwaukee Brewers,93,69,0.574,.574,0,
1978,American League,League,Baltimore Orioles,90,71,0.559,.559,0,
1978,American League,League,Detroit Tigers,86,76,0.531,.531,0,
1978,American League,League,Cleveland Indians,69,90,0.434,.434,0,
1978,American League,League,Toronto Blue Jays,59,102,0.366,.366,0,
1978,American League,League,Kansas City Royals,92,70,0.568,.568,0,
1978,American League,League,Texas Rangers,87,75,0.537,.537,0,
1978,American League,League,California Angels,87,75,0.537,.537,0,
1978,American League,League,Minnesota Twins,73,89,0.451,.451,0,
1978,American League,League,Chicago White Sox,71,90,0.441,.441,0,
1978,American League,League,Oakland Athletics,69,93,0.426,.426,0,
1978,American League,League,Seattle Mariners,56,104,0.35,.350,0,
