year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1946,National League,League,St. Louis Cardinals,98,58,0.628,.628,0,
1946,National League,League,Brooklyn Dodgers,96,60,0.615,.615,0,
1946,National League,League,Chicago Cubs,82,71,0.536,.536,0,
1946,National League,League,Boston Braves,81,72,0.529,.529,0,
1946,National League,League,Philadelphia Phillies,69,85,0.448,.448,0,
1946,National League,League,Cincinnati Reds,67,87,0.435,.435,0,
1946,National League,League,Pittsburgh Pirates,63,91,0.409,.409,0,
1946,National League,League,New York Giants,61,93,0.396,.396,0,
