name,url,team,team_url,year,league,statistic,value,stat_type,rank
Eddie Yost,https://www.baseball-almanac.com/players/player.php?p=yosted01,Washington,,1956,American League,Base on Balls,151,player,1
Mickey Mantle,https://www.baseball-almanac.com/players/player.php?p=mantlmi01,New York,,1956,American League,Batting Average,.353,player,1
Jim Piersall,https://www.baseball-almanac.com/players/player.php?p=piersji01,Boston,,1956,American League,Doubles,40,player,1
Harvey Kuenn,https://www.baseball-almanac.com/players/player.php?p=kuennha01,Detroit,,1956,American League,Hits,196,player,1
Mickey Mantle,https://www.baseball-almanac.com/players/player.php?p=mantlmi01,New York,,1956,American League,Home Runs,52,player,1
Ted Williams,https://www.baseball-almanac.com/players/player.php?p=willite01,Boston,,1956,American League,On Base Percentage,.479,player,1
Mickey Mantle,https://www.baseball-almanac.com/players/player.php?p=mantlmi01,New York,,1956,American League,RBI,130,player,1
Mickey Mantle,https://www.baseball-almanac.com/players/player.php?p=mantlmi01,New York,,1956,American League,Runs,132,player,1
Mickey Mantle,https://www.baseball-almanac.com/players/player.php?p=mantlmi01,New York,,1956,American League,Slugging Average,.705,player,1
Luis Aparacio,https://www.baseball-almanac.com/players/player.php?p=aparilu01,Chicago,,1956,American League,Stolen Bases,21,player,1
Mickey Mantle,https://www.baseball-almanac.com/players/player.php?p=mantlmi01,New York,,1956,American League,Total Bases,376,player,1
Jackie Jensen,https://www.baseball-almanac.com/players/player.php?p=jenseja01,Boston,,1956,American League,Triples,11,player,1
Jim Lemon,https://www.baseball-almanac.com/players/player.php?p=lemonji01,Washington,,1956,American League,Triples,11,player,1
Minnie Minoso,https://www.baseball-almanac.com/players/player.php?p=minosmi01,Chicago,,1956,American League,Triples,11,player,1
Harry Simpson,https://www.baseball-almanac.com/players/player.php?p=simpsha01,Kansas City,,1956,American League,Triples,11,player,1
Bob Lemon,https://www.baseball-almanac.com/players/player.php?p=lemonbo01,Cleveland,,1956,American League,Complete Games,21,pitcher,1
Billy Pierce,https://www.baseball-almanac.com/players/player.php?p=piercbi02,Chicago,,1956,American League,Complete Games,21,pitcher,1
Whitey Ford,https://www.baseball-almanac.com/players/player.php?p=fordwh01,New York,,1956,American League,ERA,2.47,pitcher,1
George Zuverink,https://www.baseball-almanac.com/players/player.php?p=zuverge01,Baltimore,,1956,American League,Games,62,pitcher,1
George Zuverink,https://www.baseball-almanac.com/players/player.php?p=zuverge01,Baltimore,,1956,American League,Saves,16,pitcher,1
Herb Score,https://www.baseball-almanac.com/players/player.php?p=scorehe01,Cleveland,,1956,American League,Shutouts,5,pitcher,1
Herb Score,https://www.baseball-almanac.com/players/player.php?p=scorehe01,Cleveland,,1956,American League,Strikeouts,263,pitcher,1
Whitey Ford,https://www.baseball-almanac.com/players/player.php?p=fordwh01,New York,,1956,American League,Winning Percentage,.760,pitcher,1
Frank Lary,https://www.baseball-almanac.com/players/player.php?p=laryfr01,Detroit,,1956,American League,Wins,21,pitcher,1
