year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1971,National League,League,Pittsburgh Pirates,97,65,0.599,.599,0,
1971,National League,League,St. Louis Cardinals,90,72,0.556,.556,0,
1971,National League,League,New York Mets,83,79,0.512,.512,0,
1971,National League,League,Chicago Cubs,83,79,0.512,.512,0,
1971,National League,League,Montreal Expos,71,90,0.441,.441,0,
1971,National League,League,Philadelphia Phillies,67,95,0.414,.414,0,
1971,National League,League,San Francisco Giants,90,72,0.556,.556,0,
1971,National League,League,Los Angeles Dodgers,89,73,0.549,.549,0,
1971,National League,League,Atlanta Braves,82,80,0.506,.506,0,
1971,National League,League,Houston Astros,79,83,0.488,.488,0,
1971,National League,League,Cincinnati Reds,79,83,0.488,.488,0,
1971,National League,League,San Diego Padres,61,100,0.379,.379,0,
