year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1896,National League,League,Baltimore Orioles,90,39,0.698,.698,0,
1896,National League,League,Cleveland Spiders,80,48,0.625,.625,0,
1896,National League,League,Cincinnati Reds,77,50,0.606,.606,0,
1896,National League,League,Boston Beaneaters,74,57,0.565,.565,0,
1896,National League,League,Chicago Colts,71,57,0.555,.555,0,
1896,National League,League,Pittsburgh Pirates,66,63,0.512,.512,0,
1896,National League,League,New York Giants,64,67,0.489,.489,0,
1896,National League,League,Philadelphia Phillies,62,68,0.477,.477,0,
1896,National League,League,Washington Senators,58,73,0.443,.443,0,
1896,National League,League,Brooklyn Bridegrooms,58,73,0.443,.443,0,
1896,National League,League,St. Louis Browns,40,90,0.308,.308,0,
1896,National League,League,Louisville Colonels,38,93,0.29,.290,0,
