name,url,team,team_url,year,league,statistic,value,stat_type,rank
Billy Hamilton,https://www.baseball-almanac.com/players/player.php?p=hamilbi01,Philadelphia,,1895,National League,Base on Balls,96,player,1
Bill Joyce,https://www.baseball-almanac.com/players/player.php?p=joycebi01,Washington,,1895,National League,Base on Balls,96,player,1
Jesse Burkett,https://www.baseball-almanac.com/players/player.php?p=burkeje01,Cleveland,,1895,National League,Batting Average,.409,player,1
Ed Delahanty,https://www.baseball-almanac.com/players/player.php?p=delahed01,Philadelphia,,1895,National League,Doubles,49,player,1
Jesse Burkett,https://www.baseball-almanac.com/players/player.php?p=burkeje01,Cleveland,,1895,National League,Hits,225,player,1
Sam Thompson,https://www.baseball-almanac.com/players/player.php?p=thompsa01,Philadelphia,,1895,National League,Home Runs,18,player,1
Ed Delahanty,https://www.baseball-almanac.com/players/player.php?p=delahed01,Philadelphia,,1895,National League,On Base Percentage,.500,player,1
Sam Thompson,https://www.baseball-almanac.com/players/player.php?p=thompsa01,Philadelphia,,1895,National League,RBI,165,player,1
Billy Hamilton,https://www.baseball-almanac.com/players/player.php?p=hamilbi01,Philadelphia,,1895,National League,Runs,166,player,1
Sam Thompson,https://www.baseball-almanac.com/players/player.php?p=thompsa01,Philadelphia,,1895,National League,Slugging Average,.654,player,1
Billy Hamilton,https://www.baseball-almanac.com/players/player.php?p=hamilbi01,Philadelphia,,1895,National League,Stolen Bases,97,player,1
Sam Thompson,https://www.baseball-almanac.com/players/player.php?p=thompsa01,Philadelphia,,1895,National League,Total Bases,352,player,1
Kip Selbach,https://www.baseball-almanac.com/players/player.php?p=selbaki01,Washington,,1895,National League,Triples,22,player,1
Ted Breitenstein,https://www.baseball-almanac.com/players/player.php?p=breitte01,St. Louis,,1895,National League,Complete Games,46,pitcher,1
Al Maul,https://www.baseball-almanac.com/players/player.php?p=maulal01,Washington,,1895,National League,ERA,2.45,pitcher,1
Pink Hawley,https://www.baseball-almanac.com/players/player.php?p=hawlepi01,Pittsburgh,,1895,National League,Games,56,pitcher,1
Ernie Beam,https://www.baseball-almanac.com/players/player.php?p=beamer01,Philadelphia,,1895,National League,Saves,3,pitcher,1
Kid Nichols,https://www.baseball-almanac.com/players/player.php?p=nichoki01,Boston,,1895,National League,Saves,3,pitcher,1
Tom Parrott,https://www.baseball-almanac.com/players/player.php?p=parroto01,Cincinnati,,1895,National League,Saves,3,pitcher,1
Pink Hawley,https://www.baseball-almanac.com/players/player.php?p=hawlepi01,Pittsburgh,,1895,National League,Shutouts,4,pitcher,1
Bill Hoffer,https://www.baseball-almanac.com/players/player.php?p=hoffebi01,Baltimore,,1895,National League,Shutouts,4,pitcher,1
Sadie McMahon,https://www.baseball-almanac.com/players/player.php?p=mcmahsa01,Baltimore,,1895,National League,Shutouts,4,pitcher,1
Amos Rusie,https://www.baseball-almanac.com/players/player.php?p=rusieam01,New York,,1895,National League,Shutouts,4,pitcher,1
Cy Young,https://www.baseball-almanac.com/players/player.php?p=youngcy01,Cleveland,,1895,National League,Shutouts,4,pitcher,1
Amos Rusie,https://www.baseball-almanac.com/players/player.php?p=rusieam01,New York,,1895,National League,Strikeouts,201,pitcher,1
Bill Hoffer,https://www.baseball-almanac.com/players/player.php?p=hoffebi01,Baltimore,,1895,National League,Winning Percentage,.838,pitcher,1
Cy Young,https://www.baseball-almanac.com/players/player.php?p=youngcy01,Cleveland,,1895,National League,Wins,35,pitcher,1
