name,url,team,team_url,year,league,statistic,value,stat_type,rank
Jack Fournier,https://www.baseball-almanac.com/players/player.php?p=fournja01,Brooklyn,,1925,National League,Base on Balls,86,player,1
Rogers Hornsby,https://www.baseball-almanac.com/players/player.php?p=hornsro01,St. Louis,,1925,National League,Batting Average,.403,player,1
Jim Bottomley,https://www.baseball-almanac.com/players/player.php?p=bottoji01,St. Louis,,1925,National League,Doubles,44,player,1
Jim Bottomley,https://www.baseball-almanac.com/players/player.php?p=bottoji01,St. Louis,,1925,National League,Hits,227,player,1
Rogers Hornsby,https://www.baseball-almanac.com/players/player.php?p=hornsro01,St. Louis,,1925,National League,Home Runs,39,player,1
Rogers Hornsby,https://www.baseball-almanac.com/players/player.php?p=hornsro01,St. Louis,,1925,National League,On Base Percentage,.489,player,1
Rogers Hornsby,https://www.baseball-almanac.com/players/player.php?p=hornsro01,St. Louis,,1925,National League,RBI,143,player,1
Kiki Cuyler,https://www.baseball-almanac.com/players/player.php?p=cuyleki01,Pittsburgh,,1925,National League,Runs,144,player,1
Rogers Hornsby,https://www.baseball-almanac.com/players/player.php?p=hornsro01,St. Louis,,1925,National League,Slugging Average,.756,player,1
Max Carey,https://www.baseball-almanac.com/players/player.php?p=careyma01,Pittsburgh,,1925,National League,Stolen Bases,46,player,1
Rogers Hornsby,https://www.baseball-almanac.com/players/player.php?p=hornsro01,St. Louis,,1925,National League,Total Bases,381,player,1
Kiki Cuyler,https://www.baseball-almanac.com/players/player.php?p=cuyleki01,Pittsburgh,,1925,National League,Triples,26,player,1
Pete Donohue,https://www.baseball-almanac.com/players/player.php?p=donohpe01,Cincinnati,,1925,National League,Complete Games,27,pitcher,1
Dolf Luque,https://www.baseball-almanac.com/players/player.php?p=luquedo01,Cincinnati,,1925,National League,ERA,2.63,pitcher,1
Johnny Morrison,https://www.baseball-almanac.com/players/player.php?p=morrijo04,Pittsburgh,,1925,National League,Games,44,pitcher,1
Guy Bush,https://www.baseball-almanac.com/players/player.php?p=bushgu01,Chicago,,1925,National League,Saves,4,pitcher,1
Johnny Morrison,https://www.baseball-almanac.com/players/player.php?p=morrijo04,Pittsburgh,,1925,National League,Saves,4,pitcher,1
Hal Carlson,https://www.baseball-almanac.com/players/player.php?p=carlsha01,Philadelphia,,1925,National League,Shutouts,4,pitcher,1
Dolf Luque,https://www.baseball-almanac.com/players/player.php?p=luquedo01,Cincinnati,,1925,National League,Shutouts,4,pitcher,1
Dazzy Vance,https://www.baseball-almanac.com/players/player.php?p=vanceda01,Brooklyn,,1925,National League,Shutouts,4,pitcher,1
Dazzy Vance,https://www.baseball-almanac.com/players/player.php?p=vanceda01,Brooklyn,,1925,National League,Strikeouts,221,pitcher,1
Bill Sherdel,https://www.baseball-almanac.com/players/player.php?p=sherdbi01,St. Louis,,1925,National League,Winning Percentage,.714,pitcher,1
Dazzy Vance,https://www.baseball-almanac.com/players/player.php?p=vanceda01,Brooklyn,,1925,National League,Wins,22,pitcher,1
