name,url,team,team_url,year,league,statistic,value,stat_type,rank
Topsy Hartsel,https://www.baseball-almanac.com/players/player.php?p=hartsto01,Philadelphia,,1908,American League,Base on Balls,93,player,1
Ty Cobb,https://www.baseball-almanac.com/players/player.php?p=cobbty01,Detroit,,1908,American League,Batting Average,.324,player,1
Ty Cobb,https://www.baseball-almanac.com/players/player.php?p=cobbty01,Detroit,,1908,American League,Doubles,36,player,1
Ty Cobb,https://www.baseball-almanac.com/players/player.php?p=cobbty01,Detroit,,1908,American League,Hits,188,player,1
Sam Crawford,https://www.baseball-almanac.com/players/player.php?p=crawfsa01,Detroit,,1908,American League,Home Runs,7,player,1
Doc Gessler,https://www.baseball-almanac.com/players/player.php?p=gessldo01,Boston,,1908,American League,On Base Percentage,.394,player,1
Ty Cobb,https://www.baseball-almanac.com/players/player.php?p=cobbty01,Detroit,,1908,American League,RBI,108,player,1
Matty McIntyre,https://www.baseball-almanac.com/players/player.php?p=mcintma01,Detroit,,1908,American League,Runs,105,player,1
Ty Cobb,https://www.baseball-almanac.com/players/player.php?p=cobbty01,Detroit,,1908,American League,Slugging Average,.476,player,1
Patsy Dougherty,https://www.baseball-almanac.com/players/player.php?p=doughpa01,Chicago,,1908,American League,Stolen Bases,47,player,1
Ty Cobb,https://www.baseball-almanac.com/players/player.php?p=cobbty01,Detroit,,1908,American League,Total Bases,276,player,1
Ty Cobb,https://www.baseball-almanac.com/players/player.php?p=cobbty01,Detroit,,1908,American League,Triples,20,player,1
Ed Walsh,https://www.baseball-almanac.com/players/player.php?p=walshed01,Chicago,,1908,American League,Complete Games,42,pitcher,1
Addie Joss,https://www.baseball-almanac.com/players/player.php?p=jossad01,Cleveland,,1908,American League,ERA,1.16,pitcher,1
Ed Walsh,https://www.baseball-almanac.com/players/player.php?p=walshed01,Chicago,,1908,American League,Games,66,pitcher,1
Ed Walsh,https://www.baseball-almanac.com/players/player.php?p=walshed01,Chicago,,1908,American League,Saves,6,pitcher,1
Ed Walsh,https://www.baseball-almanac.com/players/player.php?p=walshed01,Chicago,,1908,American League,Shutouts,11,pitcher,1
Ed Walsh,https://www.baseball-almanac.com/players/player.php?p=walshed01,Chicago,,1908,American League,Strikeouts,269,pitcher,1
Ed Walsh,https://www.baseball-almanac.com/players/player.php?p=walshed01,Chicago,,1908,American League,Winning Percentage,.727,pitcher,1
Ed Walsh,https://www.baseball-almanac.com/players/player.php?p=walshed01,Chicago,,1908,American League,Wins,40,pitcher,1
