name,url,team,team_url,year,league,statistic,value,stat_type,rank
Nick Etten,https://www.baseball-almanac.com/players/player.php?p=ettenni01,New York,,1944,American League,Base on Balls,97,player,1
Lou Boudreau,https://www.baseball-almanac.com/players/player.php?p=boudrlo01,Cleveland,,1944,American League,Batting Average,.327,player,1
Lou Boudreau,https://www.baseball-almanac.com/players/player.php?p=boudrlo01,Cleveland,,1944,American League,Doubles,45,player,1
Snuffy Stirnweiss,https://www.baseball-almanac.com/players/player.php?p=stirnsn01,New York,,1944,American League,Hits,205,player,1
Nick Etten,https://www.baseball-almanac.com/players/player.php?p=ettenni01,New York,,1944,American League,Home Runs,22,player,1
Bob Johnson,https://www.baseball-almanac.com/players/player.php?p=johnsbo01,Boston,,1944,American League,On Base Percentage,.431,player,1
Vern Stephens,https://www.baseball-almanac.com/players/player.php?p=stephve01,St. Louis,,1944,American League,RBI,109,player,1
Snuffy Stirnweiss,https://www.baseball-almanac.com/players/player.php?p=stirnsn01,New York,,1944,American League,Runs,125,player,1
Bobby Doerr,https://www.baseball-almanac.com/players/player.php?p=doerrbo01,Boston,,1944,American League,Slugging Average,.528,player,1
Snuffy Stirnweiss,https://www.baseball-almanac.com/players/player.php?p=stirnsn01,New York,,1944,American League,Stolen Bases,55,player,1
Johnny Lindell,https://www.baseball-almanac.com/players/player.php?p=lindejo01,New York,,1944,American League,Total Bases,297,player,1
Johnny Lindell,https://www.baseball-almanac.com/players/player.php?p=lindejo01,New York,,1944,American League,Triples,16,player,1
Snuffy Stirnweiss,https://www.baseball-almanac.com/players/player.php?p=stirnsn01,New York,,1944,American League,Triples,16,player,1
Dizzy Trout,https://www.baseball-almanac.com/players/player.php?p=troutdi01,Detroit,,1944,American League,Complete Games,33,pitcher,1
Dizzy Trout,https://www.baseball-almanac.com/players/player.php?p=troutdi01,Detroit,,1944,American League,ERA,2.12,pitcher,1
Joe Heving,https://www.baseball-almanac.com/players/player.php?p=hevinjo02,Cleveland,,1944,American League,Games,63,pitcher,1
Joe Berry,https://www.baseball-almanac.com/players/player.php?p=berryjo03,Philadelphia,,1944,American League,Saves,12,pitcher,1
George Caster,https://www.baseball-almanac.com/players/player.php?p=castege01,St. Louis,,1944,American League,Saves,12,pitcher,1
Gordon Maltzberger,https://www.baseball-almanac.com/players/player.php?p=maltzgo01,Chicago,,1944,American League,Saves,12,pitcher,1
Dizzy Trout,https://www.baseball-almanac.com/players/player.php?p=troutdi01,Detroit,,1944,American League,Shutouts,7,pitcher,1
Hal Newhouser,https://www.baseball-almanac.com/players/player.php?p=newhoha01,Detroit,,1944,American League,Strikeouts,187,pitcher,1
Tex Hughson,https://www.baseball-almanac.com/players/player.php?p=hughste01,Boston,,1944,American League,Winning Percentage,.783,pitcher,1
Hal Newhouser,https://www.baseball-almanac.com/players/player.php?p=newhoha01,Detroit,,1944,American League,Wins,29,pitcher,1
