year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1977,American League,League,New York Yankees,100,62,0.613,.613,0,
1977,American League,League,Baltimore Orioles,97,64,0.602,.602,0,
1977,American League,League,Boston Red Sox,97,64,0.602,.602,0,
1977,American League,League,Detroit Tigers,74,88,0.457,.457,0,
1977,American League,League,Cleveland Indians,71,90,0.441,.441,0,
1977,American League,League,Milwaukee Brewers,67,95,0.414,.414,0,
1977,American League,League,Toronto Blue Jays,54,107,0.335,.335,0,
1977,American League,League,Kansas City Royals,102,60,0.63,.630,0,
1977,American League,League,Texas Rangers,94,68,0.58,.580,0,
1977,American League,League,Chicago White Sox,90,72,0.556,.556,0,
1977,American League,League,Minnesota Twins,84,77,0.522,.522,0,
1977,American League,League,California Angels,74,88,0.457,.457,0,
1977,American League,League,Seattle Mariners,64,98,0.395,.395,0,
1977,American League,League,Oakland Athletics,63,98,0.391,.391,0,
