year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
2024,National League,League,Philadelphia Phillies,95,67,0.586,0,0,
2024,National League,League,Atlanta Braves,89,73,0.549,0,0,
2024,National League,League,New York Mets,89,73,0.549,0,0,
2024,National League,League,Washington Nationals,71,91,0.438,0,0,
2024,National League,League,Miami Marlins,62,100,0.383,0,0,
2024,National League,League,Milwaukee Brewers,93,69,0.574,0,0,
2024,National League,League,Chicago Cubs,83,79,0.512,0,0,
2024,National League,League,St. Louis Cardinals,83,79,0.512,0,0,
2024,National League,League,Cincinnati Reds,77,85,0.475,0,0,
2024,National League,League,Pittsburgh Pirates,76,86,0.469,0,0,
2024,National League,League,Los Angeles Dodgers,98,64,0.605,0,0,
2024,National League,League,San Diego Padres,93,69,0.574,0,0,
2024,National League,League,Arizona Diamondbacks,89,73,0.549,0,0,
2024,National League,League,San Francisco Giants,80,82,0.494,0,0,
2024,National League,League,Colorado Rockies,61,101,0.377,0,0,
