name,url,team,team_url,year,league,statistic,value,stat_type,rank
Roger Connor,https://www.baseball-almanac.com/players/player.php?p=connoro01,New York,,1888,National League,Base on Balls,73,player,1
Cap Anson,https://www.baseball-almanac.com/players/player.php?p=ansonca01,Chicago,,1888,National League,Batting Average,.344,player,1
Dan Brouthers,https://www.baseball-almanac.com/players/player.php?p=broutda01,Detroit,,1888,National League,Doubles,33,player,1
Jimmy Ryan,https://www.baseball-almanac.com/players/player.php?p=ryanji01,Chicago,,1888,National League,Doubles,33,player,1
Jimmy Ryan,https://www.baseball-almanac.com/players/player.php?p=ryanji01,Chicago,,1888,National League,Hits,182,player,1
Jimmy Ryan,https://www.baseball-almanac.com/players/player.php?p=ryanji01,Chicago,,1888,National League,Home Runs,16,player,1
Cap Anson,https://www.baseball-almanac.com/players/player.php?p=ansonca01,Chicago,,1888,National League,On Base Percentage,.400,player,1
Cap Anson,https://www.baseball-almanac.com/players/player.php?p=ansonca01,Chicago,,1888,National League,RBI,84,player,1
Dan Brouthers,https://www.baseball-almanac.com/players/player.php?p=broutda01,Detroit,,1888,National League,Runs,118,player,1
Jimmy Ryan,https://www.baseball-almanac.com/players/player.php?p=ryanji01,Chicago,,1888,National League,Slugging Average,.515,player,1
Jimmy Ryan,https://www.baseball-almanac.com/players/player.php?p=ryanji01,Chicago,,1888,National League,Total Bases,283,player,1
Dick Johnston,https://www.baseball-almanac.com/players/player.php?p=johnsdi01,Boston,,1888,National League,Triples,18,player,1
Ed Morris,https://www.baseball-almanac.com/players/player.php?p=morried01,Pittsburgh,,1888,National League,Complete Games,54,pitcher,1
Tim Keefe,https://www.baseball-almanac.com/players/player.php?p=keefeti01,New York,,1888,National League,ERA,1.74,pitcher,1
Ed Morris,https://www.baseball-almanac.com/players/player.php?p=morried01,Pittsburgh,,1888,National League,Games,55,pitcher,1
George Wood,https://www.baseball-almanac.com/players/player.php?p=woodge01,Philadelphia,,1888,National League,Saves,2,pitcher,1
Tim Keefe,https://www.baseball-almanac.com/players/player.php?p=keefeti01,New York,,1888,National League,Shutouts,8,pitcher,1
Ben Sanders,https://www.baseball-almanac.com/players/player.php?p=sandebe01,Philadelphia,,1888,National League,Shutouts,8,pitcher,1
Tim Keefe,https://www.baseball-almanac.com/players/player.php?p=keefeti01,New York,,1888,National League,Strikeouts,335,pitcher,1
Tim Keefe,https://www.baseball-almanac.com/players/player.php?p=keefeti01,New York,,1888,National League,Winning Percentage,.745,pitcher,1
Tim Keefe,https://www.baseball-almanac.com/players/player.php?p=keefeti01,New York,,1888,National League,Wins,35,pitcher,1
