year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
2009,American League,League,New York Yankees,103,59,0.636,0,0,
2009,American League,League,Boston Red Sox,95,67,0.586,0,0,
2009,American League,League,Tampa Bay Rays,84,78,0.519,0,0,
2009,American League,League,Toronto Blue Jays,75,87,0.463,0,0,
2009,American League,League,Baltimore Orioles,64,98,0.395,0,0,
2009,American League,League,Minnesota Twins,87,76,0.534,0,0,
2009,American League,League,Detroit Tigers,86,77,0.528,0,0,
2009,American League,League,Chicago White Sox,79,83,0.488,0,0,
2009,American League,League,Cleveland Indians,65,97,0.401,0,0,
2009,American League,League,Kansas City Royals,65,97,0.401,0,0,
2009,American League,League,Los Angeles Angels,97,65,0.599,0,0,
2009,American League,League,Texas Rangers,87,75,0.537,0,0,
2009,American League,League,Seattle Mariners,85,77,0.525,0,0,
2009,American League,League,Oakland Athletics,75,87,0.463,0,0,
