year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1979,American League,League,Baltimore Orioles,102,57,0.642,.642,0,
1979,American League,League,Milwaukee Brewers,95,66,0.59,.590,0,
1979,American League,League,Boston Red Sox,91,69,0.569,.569,0,
1979,American League,League,New York Yankees,89,71,0.556,.556,0,
1979,American League,League,Detroit Tigers,85,76,0.0,18,0,
1979,American League,League,Cleveland Indians,81,80,0.503,.503,0,
1979,American League,League,Toronto Blue Jays,53,109,0.327,.327,0,
1979,American League,League,California Angels,88,74,0.543,.543,0,
1979,American League,League,Kansas City Royals,85,77,0.525,.525,0,
1979,American League,League,Texas Rangers,83,79,0.512,.512,0,
1979,American League,League,Minnesota Twins,82,80,0.506,.506,0,
1979,American League,League,Chicago White Sox,73,87,0.456,.456,0,
1979,American League,League,Seattle Mariners,67,95,0.414,.414,0,
1979,American League,League,Oakland Athletics,54,108,0.333,.333,0,
