year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1957,American League,League,New York Yankees,98,56,0.636,.636,0,
1957,American League,League,Chicago White Sox,90,64,0.584,.584,0,
1957,American League,League,Boston Red Sox,82,72,0.532,.532,0,
1957,American League,League,Detroit Tigers,78,76,0.506,.506,0,
1957,American League,League,Baltimore Orioles,76,76,0.5,.500,0,
1957,American League,League,Cleveland Indians,76,77,0.497,.497,0,
1957,American League,League,Kansas City Athletics,59,94,0.386,.386,0,
1957,American League,League,Washington Senators,55,99,0.357,.357,0,
