year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1964,National League,League,St. Louis Cardinals,93,69,0.574,.574,0,
1964,National League,League,Cincinnati Reds,92,70,0.568,.568,0,
1964,National League,League,Philadelphia Phillies,92,70,0.568,.568,0,
1964,National League,League,San Francisco Giants,90,72,0.556,.556,0,
1964,National League,League,Milwaukee Braves,88,74,0.543,.543,0,
1964,National League,League,Los Angeles Dodgers,80,82,0.494,.494,0,
1964,National League,League,Pittsburgh Pirates,80,82,0.494,.494,0,
1964,National League,League,Chicago Cubs,76,86,0.469,.469,0,
1964,National League,League,Houston Colt .45s,66,96,0.407,.407,0,
1964,National League,League,New York Mets,53,109,0.327,.327,0,
