year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1983,American League,League,Baltimore Orioles,98,64,0.605,.605,0,
1983,American League,League,Detroit Tigers,92,70,0.568,.568,0,
1983,American League,League,New York Yankees,91,71,0.562,.562,0,
1983,American League,League,Toronto Blue Jays,89,73,0.549,.549,0,
1983,American League,League,Milwaukee Brewers,87,75,0.537,.537,0,
1983,American League,League,Boston Red Sox,78,84,0.481,.481,0,
1983,American League,League,Cleveland Indians,70,92,0.432,.432,0,
1983,American League,League,Chicago White Sox,99,63,0.611,.611,0,
1983,American League,League,Kansas City Royals,79,83,0.488,.488,0,
1983,American League,League,Texas Rangers,77,85,0.475,.475,0,
1983,American League,League,Oakland Athletics,74,88,0.457,.457,0,
1983,American League,League,California Angels,70,92,0.432,.432,0,
1983,American League,League,Minnesota Twins,70,92,0.432,.432,0,
1983,American League,League,Seattle Mariners,60,102,0.37,.370,0,
