name,url,team,team_url,year,league,statistic,value,stat_type,rank
Ron Santo,https://www.baseball-almanac.com/players/player.php?p=santoro01,Chicago,,1968,National League,Base on Balls,96,player,1
Pete Rose,https://www.baseball-almanac.com/players/player.php?p=rosepe01,Cincinnati,,1968,National League,Batting Average,335,player,1
Lou Brock,https://www.baseball-almanac.com/players/player.php?p=brocklo01,St. Louis,,1968,National League,Doubles,46,player,1
Felipe Alou,https://www.baseball-almanac.com/players/player.php?p=aloufe01,Atlanta,,1968,National League,Hits,210,player,1
Pete Rose,https://www.baseball-almanac.com/players/player.php?p=rosepe01,Cincinnati,,1968,National League,Hits,210,player,1
Willie McCovey,https://www.baseball-almanac.com/players/player.php?p=mccovwi01,San Francisco,,1968,National League,Home Runs,36,player,1
Pete Rose,https://www.baseball-almanac.com/players/player.php?p=rosepe01,Cincinnati,,1968,National League,On Base Percentage,.394,player,1
Willie McCovey,https://www.baseball-almanac.com/players/player.php?p=mccovwi01,San Francisco,,1968,National League,RBI,105,player,1
Glenn Beckert,https://www.baseball-almanac.com/players/player.php?p=beckegl01,Chicago,,1968,National League,Runs,98,player,1
Willie McCovey,https://www.baseball-almanac.com/players/player.php?p=mccovwi01,San Francisco,,1968,National League,Slugging Average,.545,player,1
Lou Brock,https://www.baseball-almanac.com/players/player.php?p=brocklo01,St. Louis,,1968,National League,Stolen Bases,62,player,1
Billy Williams,https://www.baseball-almanac.com/players/player.php?p=willibi01,Chicago,,1968,National League,Total Bases,321,player,1
Lou Brock,https://www.baseball-almanac.com/players/player.php?p=brocklo01,St. Louis,,1968,National League,Triples,14,player,1
Juan Marichal,https://www.baseball-almanac.com/players/player.php?p=maricju01,San Francisco,,1968,National League,Complete Games,30,pitcher,1
Bob Gibson,https://www.baseball-almanac.com/players/player.php?p=gibsobo01,St. Louis,,1968,National League,ERA,1.12,pitcher,1
Ted Abernathy,https://www.baseball-almanac.com/players/player.php?p=abernte02,Cincinnati,,1968,National League,Games,78,pitcher,1
Phil Regan,https://www.baseball-almanac.com/players/player.php?p=reganph01,Los Angeles,,1968,National League,Saves,25,pitcher,1
Phil Regan,https://www.baseball-almanac.com/players/player.php?p=reganph01,Chicago,,1968,National League,Saves,25,pitcher,1
Bob Gibson,https://www.baseball-almanac.com/players/player.php?p=gibsobo01,St. Louis,,1968,National League,Shutouts,13,pitcher,1
Bob Gibson,https://www.baseball-almanac.com/players/player.php?p=gibsobo01,St. Louis,,1968,National League,Strikeouts,268,pitcher,1
Steve Blass,https://www.baseball-almanac.com/players/player.php?p=blassst01,Pittsburgh,,1968,National League,Winning Percentage,.750,pitcher,1
Juan Marichal,https://www.baseball-almanac.com/players/player.php?p=maricju01,San Francisco,,1968,National League,Wins,26,pitcher,1
