year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
2008,American League,League,Tampa Bay Rays,97,65,0.599,0,0,
2008,American League,League,Boston Red Sox,95,67,0.586,0,0,
2008,American League,League,New York Yankees,89,73,0.549,0,0,
2008,American League,League,Toronto Blue Jays,86,76,0.531,0,0,
2008,American League,League,Baltimore Orioles,68,93,0.422,0,0,
2008,American League,League,Chicago White Sox,89,74,0.546,0,0,
2008,American League,League,Minnesota Twins,88,75,0.54,0,0,
2008,American League,League,Cleveland Indians,81,81,0.5,0,0,
2008,American League,League,Kansas City Royals,75,87,0.463,0,0,
2008,American League,League,Detroit Tigers,74,88,0.457,0,0,
2008,American League,League,Los Angeles Angels,100,62,0.617,0,0,
2008,American League,League,Texas Rangers,79,83,0.488,0,0,
2008,American League,League,Oakland Athletics,75,86,0.466,0,0,
2008,American League,League,Seattle Mariners,61,101,0.377,0,0,
