year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1983,National League,League,Philadelphia Phillies,90,72,0.556,.556,0,
1983,National League,League,Pittsburgh Pirates,84,78,0.519,.519,0,
1983,National League,League,Montreal Expos,82,80,0.506,.506,0,
1983,National League,League,St. Louis Cardinals,79,83,0.488,.488,0,
1983,National League,League,Chicago Cubs,71,91,0.438,.438,0,
1983,National League,League,New York Mets,68,94,0.42,.420,0,
1983,National League,League,Los Angeles Dodgers,91,71,0.562,.562,0,
1983,National League,League,Atlanta Braves,88,74,0.543,.543,0,
1983,National League,League,Houston Astros,85,77,0.525,.525,0,
1983,National League,League,San Diego Padres,81,81,0.5,.500,0,
1983,National League,League,San Francisco Giants,79,83,0.488,.488,0,
1983,National League,League,Cincinnati Reds,74,88,0.457,.457,0,
