name,url,team,team_url,year,league,statistic,value,stat_type,rank
Gavvy Cravath,https://www.baseball-almanac.com/players/player.php?p=cravaga01,Philadelphia,,1915,National League,Base on Balls,86,player,1
Larry Doyle,https://www.baseball-almanac.com/players/player.php?p=doylela01,New York,,1915,National League,Batting Average,.320,player,1
Larry Doyle,https://www.baseball-almanac.com/players/player.php?p=doylela01,New York,,1915,National League,Doubles,40,player,1
Larry Doyle,https://www.baseball-almanac.com/players/player.php?p=doylela01,New York,,1915,National League,Hits,189,player,1
Gavvy Cravath,https://www.baseball-almanac.com/players/player.php?p=cravaga01,Philadelphia,,1915,National League,Home Runs,24,player,1
Gavvy Cravath,https://www.baseball-almanac.com/players/player.php?p=cravaga01,Philadelphia,,1915,National League,On Base Percentage,.393,player,1
Gavvy Cravath,https://www.baseball-almanac.com/players/player.php?p=cravaga01,Philadelphia,,1915,National League,RBI,115,player,1
Gavvy Cravath,https://www.baseball-almanac.com/players/player.php?p=cravaga01,Philadelphia,,1915,National League,Runs,89,player,1
Gavvy Cravath,https://www.baseball-almanac.com/players/player.php?p=cravaga01,Philadelphia,,1915,National League,Slugging Average,.510,player,1
Max Carey,https://www.baseball-almanac.com/players/player.php?p=careyma01,Pittsburgh,,1915,National League,Stolen Bases,36,player,1
Gavvy Cravath,https://www.baseball-almanac.com/players/player.php?p=cravaga01,Philadelphia,,1915,National League,Total Bases,266,player,1
Tom Long,https://www.baseball-almanac.com/players/player.php?p=longto01,St. Louis,,1915,National League,Triples,25,player,1
Grover Alexander,https://www.baseball-almanac.com/players/player.php?p=alexape01,Philadelphia,,1915,National League,Complete Games,36,pitcher,1
Grover Alexander,https://www.baseball-almanac.com/players/player.php?p=alexape01,Philadelphia,,1915,National League,ERA,1.22,pitcher,1
Tom Hughes,https://www.baseball-almanac.com/players/player.php?p=hugheto02,Boston,,1915,National League,Games,50,pitcher,1
Tom Hughes,https://www.baseball-almanac.com/players/player.php?p=hugheto02,Boston,,1915,National League,Saves,9,pitcher,1
Grover Alexander,https://www.baseball-almanac.com/players/player.php?p=alexape01,Philadelphia,,1915,National League,Shutouts,12,pitcher,1
Grover Alexander,https://www.baseball-almanac.com/players/player.php?p=alexape01,Philadelphia,,1915,National League,Strikeouts,241,pitcher,1
Grover Alexander,https://www.baseball-almanac.com/players/player.php?p=alexape01,Philadelphia,,1915,National League,Winning Percentage,.756,pitcher,1
Grover Alexander,https://www.baseball-almanac.com/players/player.php?p=alexape01,Philadelphia,,1915,National League,Wins,31,pitcher,1
