year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1992,National League,League,Pittsburgh Pirates,96,66,0.593,.593,0,
1992,National League,League,Montreal Expos,87,75,0.537,.537,0,
1992,National League,League,St. Louis Cardinals,83,79,0.512,.512,0,
1992,National League,League,Chicago Cubs,78,84,0.481,.481,0,
1992,National League,League,New York Mets,72,90,0.444,.444,0,
1992,National League,League,Philadelphia Phillies,70,92,0.432,.432,0,
1992,National League,League,Atlanta Braves,98,64,0.605,.605,0,
1992,National League,League,Cincinnati Reds,90,72,0.556,.556,0,
1992,National League,League,San Diego Padres,82,80,0.506,.506,0,
1992,National League,League,Houston Astros,81,81,0.5,.500,0,
1992,National League,League,San Francisco Giants,72,90,0.444,.444,0,
1992,National League,League,Los Angeles Dodgers,63,99,0.389,.389,0,
