year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1976,National League,League,Philadelphia Phillies,101,61,0.623,.623,0,
1976,National League,League,Pittsburgh Pirates,92,70,0.568,.568,0,
1976,National League,League,New York Mets,86,76,0.531,.531,0,
1976,National League,League,Chicago Cubs,75,87,0.463,.463,0,
1976,National League,League,St. Louis Cardinals,72,90,0.444,.444,0,
1976,National League,League,Montreal Expos,55,107,0.34,.340,0,
1976,National League,League,Cincinnati Reds,102,60,0.63,.630,0,
1976,National League,League,Los Angeles Dodgers,92,70,0.568,.568,0,
1976,National League,League,Houston Astros,80,82,0.494,.494,0,
1976,National League,League,San Francisco Giants,74,88,0.457,.457,0,
1976,National League,League,San Diego Padres,73,89,0.451,.451,0,
1976,National League,League,Atlanta Braves,70,92,0.432,.432,0,
