year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1999,American League,League,New York Yankees,98,64,0.605,.605,0,
1999,American League,League,Boston Red Sox,94,68,0.58,.580,0,
1999,American League,League,Toronto Blue Jays,84,78,0.519,.519,0,
1999,American League,League,Baltimore Orioles,78,84,0.481,.481,0,
1999,American League,League,Tampa Bay Devil Rays,69,93,0.426,.426,0,
1999,American League,League,Cleveland Indians,97,65,0.599,.599,0,
1999,American League,League,Chicago White Sox,75,86,0.466,.466,0,
1999,American League,League,Detroit Tigers,69,92,0.429,.429,0,
1999,American League,League,Kansas City Royals,64,97,0.398,.398,0,
1999,American League,League,Minnesota Twins,63,97,0.394,.394,0,
1999,American League,League,Texas Rangers,95,67,0.586,.586,0,
1999,American League,League,Oakland Athletics,87,75,0.537,.537,0,
1999,American League,League,Seattle Mariners,79,83,0.488,.488,0,
1999,American League,League,Anaheim Angels,70,92,0.432,.432,0,
