year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1928,American League,League,New York Yankees,101,53,0.656,0,0,
1928,American League,League,Philadelphia Athletics,98,55,0.641,0,0,
1928,American League,League,St. Louis Browns,82,72,0.532,0,0,
1928,American League,League,Washington Senators,75,79,0.487,1,0,
1928,American League,League,Chicago White Sox,72,82,0.468,1,0,
1928,American League,League,Detroit Tigers,68,86,0.442,0,0,
1928,American League,League,Cleveland Indians,62,92,0.403,1,0,
1928,American League,League,Boston Red Sox,57,96,0.373,1,0,
