year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1999,National League,League,Atlanta Braves,103,59,0.636,.636,0,
1999,National League,League,New York Mets,97,66,0.595,.595,0,
1999,National League,League,Philadelphia Phillies,77,85,0.475,.475,0,
1999,National League,League,Montreal Expos,68,94,0.42,.420,0,
1999,National League,League,Florida Marlins,64,98,0.395,.395,0,
1999,National League,League,Houston Astros,97,65,0.599,.599,0,
1999,National League,League,Cincinnati Reds,96,67,0.589,.589,0,
1999,National League,League,Pittsburgh Pirates,78,83,0.484,.484,0,
1999,National League,League,St. Louis Cardinals,75,86,0.466,.466,0,
1999,National League,League,Milwaukee Brewers,74,87,0.46,.460,0,
1999,National League,League,Chicago Cubs,67,95,0.414,.414,0,
1999,National League,League,Arizona Diamondbacks,100,62,0.617,.617,0,
1999,National League,League,San Francisco Giants,86,76,0.531,.531,0,
1999,National League,League,Los Angeles Dodgers,77,85,0.475,.475,0,
1999,National League,League,San Diego Padres,74,88,0.457,.457,0,
1999,National League,League,Colorado Rockies,72,90,0.444,.444,0,
