year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
2011,National League,League,Philadelphia Phillies,102,60,0.63,0,0,
2011,National League,League,Atlanta Braves,89,73,0.549,0,0,
2011,National League,League,Washington Nationals,80,81,0.497,0,0,
2011,National League,League,New York Mets,77,85,0.475,0,0,
2011,National League,League,Florida Marlins,72,90,0.444,0,0,
2011,National League,League,Milwaukee Brewers,96,66,0.593,0,0,
2011,National League,League,St. Louis Cardinals,90,72,0.556,0,0,
2011,National League,League,Cincinnati Reds,79,83,0.488,0,0,
2011,National League,League,Pittsburgh Pirates,72,90,0.444,0,0,
2011,National League,League,Chicago Cubs,71,91,0.438,0,0,
2011,National League,League,Houston Astros,56,106,0.346,0,0,
2011,National League,League,Arizona Diamondbacks,94,68,0.58,0,0,
2011,National League,League,San Francisco Giants,86,76,0.531,0,0,
2011,National League,League,Los Angeles Dodgers,82,79,0.509,0,0,
2011,National League,League,Colorado Rockies,73,89,0.451,0,0,
2011,National League,League,San Diego Padres,71,91,0.438,0,0,
