year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1990,American League,League,Boston Red Sox,88,74,0.543,.543,0,
1990,American League,League,Toronto Blue Jays,86,76,0.531,.531,0,
1990,American League,League,Detroit Tigers,79,83,0.488,.488,0,
1990,American League,League,Cleveland Indians,77,85,0.475,.475,0,
1990,American League,League,Baltimore Orioles,76,85,0.472,.472,0,
1990,American League,League,Milwaukee Brewers,74,88,0.457,.457,0,
1990,American League,League,New York Yankees,67,95,0.414,.414,0,
1990,American League,League,Oakland Athletics,103,59,0.636,.636,0,
1990,American League,League,Chicago White Sox,94,68,0.58,.580,0,
1990,American League,League,Texas Rangers,83,79,0.512,.512,0,
1990,American League,League,California Angels,80,82,0.494,.494,0,
1990,American League,League,Seattle Mariners,77,85,0.475,.475,0,
1990,American League,League,Kansas City Royals,75,86,0.466,.466,0,
1990,American League,League,Minnesota Twins,74,88,0.457,.457,0,
