name,url,team,team_url,year,league,statistic,value,stat_type,rank
Joe Morgan,https://www.baseball-almanac.com/players/player.php?p=morgajo02,Cincinnati,,1975,National League,Base on Balls,132,player,1
Bill Madlock,https://www.baseball-almanac.com/players/player.php?p=madlobi01,Chicago,,1975,National League,Batting Average,.354,player,1
Pete Rose,https://www.baseball-almanac.com/players/player.php?p=rosepe01,Cincinnati,,1975,National League,Doubles,47,player,1
Dave Cash,https://www.baseball-almanac.com/players/player.php?p=cashda01,Philadelphia,,1975,National League,Hits,213,player,1
Mike Schmidt,https://www.baseball-almanac.com/players/player.php?p=schmimi01,Philadelphia,,1975,National League,Home Runs,38,player,1
Joe Morgan,https://www.baseball-almanac.com/players/player.php?p=morgajo02,Cincinnati,,1975,National League,On Base Percentage,.471,player,1
Greg Luzinski,https://www.baseball-almanac.com/players/player.php?p=luzingr01,Philadelphia,,1975,National League,RBI,120,player,1
Pete Rose,https://www.baseball-almanac.com/players/player.php?p=rosepe01,Cincinnati,,1975,National League,Runs,112,player,1
Dave Parker,https://www.baseball-almanac.com/players/player.php?p=parkeda01,Pittsburgh,,1975,National League,Slugging Average,.541,player,1
Davey Lopes,https://www.baseball-almanac.com/players/player.php?p=lopesda01,Los Angeles,,1975,National League,Stolen Bases,77,player,1
Greg Luzinski,https://www.baseball-almanac.com/players/player.php?p=luzingr01,Philadelphia,,1975,National League,Total Bases,322,player,1
Ralph Garr,https://www.baseball-almanac.com/players/player.php?p=garrra01,Atlanta,,1975,National League,Triples,11,player,1
Andy Messersmith,https://www.baseball-almanac.com/players/player.php?p=messean01,Los Angeles,,1975,National League,Complete Games,19,pitcher,1
Randy Jones,https://www.baseball-almanac.com/players/player.php?p=jonesra01,San Diego,,1975,National League,ERA,2.24,pitcher,1
Gene Garber,https://www.baseball-almanac.com/players/player.php?p=garbege01,Philadelphia,,1975,National League,Games,71,pitcher,1
Rawly Eastwick,https://www.baseball-almanac.com/players/player.php?p=eastwra01,Cincinnati,,1975,National League,Saves,22,pitcher,1
Al Hrabosky,https://www.baseball-almanac.com/players/player.php?p=hraboal01,St. Louis,,1975,National League,Saves,22,pitcher,1
Andy Messersmith,https://www.baseball-almanac.com/players/player.php?p=messean01,Los Angeles,,1975,National League,Shutouts,7,pitcher,1
Tom Seaver,https://www.baseball-almanac.com/players/player.php?p=seaveto01,New York,,1975,National League,Strikeouts,243,pitcher,1
Don Gullett,https://www.baseball-almanac.com/players/player.php?p=gulledo01,Cincinnati,,1975,National League,Winning Percentage,.789,pitcher,1
Tom Seaver,https://www.baseball-almanac.com/players/player.php?p=seaveto01,New York,,1975,National League,Wins,22,pitcher,1
