year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1894,National League,League,Baltimore Orioles,89,39,0.695,.695,0,
1894,National League,League,New York Giants,88,44,0.667,.667,0,
1894,National League,League,Boston Beaneaters,83,49,0.629,.629,0,
1894,National League,League,Philadelphia Phillies,71,57,0.555,.555,0,
1894,National League,League,Brooklyn Bridegrooms,70,61,0.534,.534,0,
1894,National League,League,Cleveland Spiders,68,61,0.527,.527,0,
1894,National League,League,Pittsburgh Pirates,65,65,0.5,.500,0,
1894,National League,League,Chicago Colts,57,75,0.432,.432,0,
1894,National League,League,St. Louis Browns,56,76,0.424,.424,0,
1894,National League,League,Cincinnati Reds,55,75,0.423,.423,0,
1894,National League,League,Washington Senators,45,87,0.341,.341,0,
1894,National League,League,Louisville Colonels,36,94,0.277,.277,0,
